"Site","ID","Family","Binomial","Ndaphnia","Sex","Collector","Climate","Date","X30m","X60m","X120m","X180m","X240m","nbut","Notes","weight","Condition","wing_atk","bird_div","bird_dens","bird_pc1","bird_pc2","bird_pc3","bird_pc4","death.p","SS","Lum_Mean.hd","Lum_StdDev.hd","Sat_Mean.hd","Sat_StdDev.hd","Lum_Mean.fd","Lum_StdDev.fd","Sat_Mean.fd","Sat_StdDev.fd","Lum_Mean.hv","Lum_StdDev.hv","Sat_Mean.hv","Sat_StdDev.hv","Lum_Mean.fv","Lum_StdDev.fv","Sat_Mean.fv","Sat_StdDev.fv"
"AO","ao3","Lycaenidae","Zizina otis",10,"Male",NA,"Temperate","10/11/2023",0,0,1,1,1,2,NA,0.006,"Semi-natural",20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.1,"AO Male",0.1346,0.0388,7.3923,3.4313,0.1247,0.023,7.0867,2.7154,0.2183,0.047,6.6112,2.0544,0.2294,0.041,6.5603,2.0455
"AO","ao1","Lycaenidae","Zizina otis",10,"Male",NA,"Temperate","10/11/2023",0,0,0,0,0,2,NA,0.007,"Semi-natural",20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0,"AO Male",0.1346,0.0388,7.3923,3.4313,0.1247,0.023,7.0867,2.7154,0.2183,0.047,6.6112,2.0544,0.2294,0.041,6.5603,2.0455
"AO","ao2","Lycaenidae","Zizina otis",10,"Female",NA,"Temperate","10/11/2023",0,0,0,1,4,2,NA,0.006,"Semi-natural",20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.4,"AO Female",0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
"AO","3513","Lycaenidae","Zizina otis",10,"Female","HS","Temperate","10/11/2023",0,0,0,2,3,1,NA,0.005,"Semi-natural",20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.3,"AO Female",0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
"AO","3585","Lycaenidae","Zizina otis",10,"Female","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,"Semi-natural",20.83333,2.913799,1578.817,-7.80139,8.411841,-14.4953,-3.54983,0.8,"AO Female",0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
"BBG","1017","Lycaenidae","Zizina otis",10,"Female","SS","Subtropical","20/09/2022",0,1,6,6,6,1,NA,0.006,"Urban",67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.6,"BBG Female",0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
"BBG","bbg1","Lycaenidae","Zizina otis",10,"Male",NA,"Subtropical","20/09/2022",0,2,4,4,4,2,NA,0.007,"Urban",67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.4,"BBG Male",0.117275,0.033725,7.774675,4.322875,0.1164,0.0237,7.34805,2.95885,0.188475,0.047675,6.4861,1.977525,0.211,0.043675,5.9751,1.966575
"BBG","1040","Lycaenidae","Zizina otis",10,"Female","MFE","Subtropical","20/09/2022",0,0,0,0,0,1,NA,0.007,"Urban",67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0,"BBG Female",0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
"BBG","996","Lycaenidae","Zizina otis",10,"Female","HS","Subtropical","20/09/2022",0,0,2,3,3,1,NA,0.007,"Urban",67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.3,"BBG Female",0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
"BBG","998","Lycaenidae","Zizina otis",10,"Male","HS","Subtropical","20/09/2022",0,0,5,7,8,1,NA,0.006,"Urban",67.30769,2.43116,3437.747,15.75022,6.998187,12.72533,21.30897,0.8,"BBG Male",0.117275,0.033725,7.774675,4.322875,0.1164,0.0237,7.34805,2.95885,0.188475,0.047675,6.4861,1.977525,0.211,0.043675,5.9751,1.966575
