"MSPEC","Area.hd","Area_mm2.hd","Major_mm.hd","Minor_mm.hd","Lum_Mean.hd","Lum_StdDev.hd","Lum_Mode.hd","X_Mean.hd","X_StdDev.hd","X_Mode.hd","Y_Mean.hd","Y_StdDev.hd","Y_Mode.hd","Z_Mean.hd","Z_StdDev.hd","Z_Mode.hd","Sat_Mean.hd","Sat_StdDev.hd","Sat_Mode.hd","Area.fd","Area_mm2.fd","Major_mm.fd","Minor_mm.fd","Lum_Mean.fd","Lum_StdDev.fd","Lum_Mode.fd","X_Mean.fd","X_StdDev.fd","X_Mode.fd","Y_Mean.fd","Y_StdDev.fd","Y_Mode.fd","Z_Mean.fd","Z_StdDev.fd","Z_Mode.fd","Sat_Mean.fd","Sat_StdDev.fd","Sat_Mode.fd","Area.b","Area_mm2.b","Major_mm.b","Minor_mm.b","Lum_Mean.b","Lum_StdDev.b","Lum_Mode.b","X_Mean.b","X_StdDev.b","X_Mode.b","Y_Mean.b","Y_StdDev.b","Y_Mode.b","Z_Mean.b","Z_StdDev.b","Z_Mode.b","Sat_Mean.b","Sat_StdDev.b","Sat_Mode.b","Area.hv","Area_mm2.hv","Major_mm.hv","Minor_mm.hv","Lum_Mean.hv","Lum_StdDev.hv","Lum_Mode.hv","X_Mean.hv","X_StdDev.hv","X_Mode.hv","Y_Mean.hv","Y_StdDev.hv","Y_Mode.hv","Z_Mean.hv","Z_StdDev.hv","Z_Mode.hv","Sat_Mean.hv","Sat_StdDev.hv","Sat_Mode.hv","Area.fv","Area_mm2.fv","Major_mm.fv","Minor_mm.fv","Lum_Mean.fv","Lum_StdDev.fv","Lum_Mode.fv","X_Mean.fv","X_StdDev.fv","X_Mode.fv","Y_Mean.fv","Y_StdDev.fv","Y_Mode.fv","Z_Mean.fv","Z_StdDev.fv","Z_Mode.fv","Sat_Mean.fv","Sat_StdDev.fv","Sat_Mode.fv"
"127",48633,1568.8065,9.342,6.8973,0.0882,0.0343,0.0763,0.1504,1.4203,0.4956,-1.2082,2.2791,-1.4966,1.034,2.0153,1.1829,3.2798,1.7513,2.7033,53160,1714.8387,10.8302,6.5033,0.0862,0.0186,0.079,0.4877,1.2517,0.8802,-2.212,2.5473,-3.006,0.9298,2.0492,0.5602,3.8403,1.8714,2.6605,15408,497.0323,8.9223,2.288,0.2339,0.154,0.0719,-0.5076,2.0875,-0.8967,-1.0524,3.1279,-0.6446,-3.3538,3.8289,-4.7538,5.741,2.9078,5.9303,48248,1556.3871,9.2363,6.921,0.1997,0.039,0.2016,0.6464,1.0242,0.6383,-3.676,1.5716,-3.5868,-4.6027,1.4262,-4.899,6.1115,1.8214,6.3327,51007,1645.3871,10.5279,6.4191,0.208,0.0381,0.2049,0.5991,0.9232,0.4586,-3.1976,1.6577,-2.6058,-4.4446,1.7069,-4.1583,5.6623,2.1886,4.4924
"151",56969,1582.4722,8.7248,6.4149,0.1211,0.0408,0.1216,0.0471,2.1346,1.1844,1.1589,5.1402,-3.9825,5.3175,5.5158,-1.22,8.3424,4.6288,5.5852,62683,1741.1944,10.5632,5.8299,0.1174,0.0278,0.1134,0.8007,1.8755,1.2903,0.0142,4.739,-5.005,5.4188,4.8596,9.9909,8.3085,3.2503,7.1061,15395,427.6389,9.3776,1.6128,0.2168,0.1302,0.0879,-0.4129,2.4879,-0.7915,-0.161,3.4813,0.327,-0.2251,3.4584,-1.6562,4.747,2.8252,2.8233,55065,1529.5833,8.927,6.0601,0.2096,0.0495,0.1951,1.0617,1.7467,1.3544,-4.0285,2.6162,-4.9987,-3.9574,2.1021,-4.0856,6.6068,1.9187,6.9495,60921,1692.25,10.5024,5.6988,0.2297,0.0468,0.2038,1.1796,1.2189,1.2793,-4.1428,1.9271,-4.5182,-4.1548,1.6134,-4.3063,6.3352,1.8668,6.2127
"153",52333,1585.8485,9.1959,6.6537,0.1153,0.033,0.1066,0.9028,1.2937,1.0582,-2.1092,2.4978,-3.0161,-0.1776,2.3182,-1.1562,3.9785,1.6592,4.0926,58835,1782.8788,11.2385,6.1208,0.1269,0.0229,0.1215,1.5473,0.9836,1.6991,-4.0144,1.6923,-4.3899,-1.6842,1.401,-1.6114,4.9802,1.529,5.6389,13475,408.3333,8.7875,1.7928,0.1972,0.1156,0.1014,-0.4702,1.9817,-0.4615,-0.5105,3.0674,-1.2002,-0.9037,3.5873,-3.2412,4.5592,2.5914,3.201,51469,1559.6667,9.3067,6.466,0.2114,0.0466,0.2007,1.0075,1.5085,1.3065,-3.7321,2.12,-4.3406,-4.0545,1.882,-4.2784,6.2128,1.7593,6.3907,57624,1746.1818,11.1295,6.0535,0.2298,0.0431,0.2251,1.1462,1.0864,1.241,-4.2375,1.6061,-4.3075,-4.5882,1.3682,-4.8413,6.5542,1.7307,6.6991
"154",42387,1324.5938,8.6696,6.0792,0.1073,0.0291,0.1006,0.0029,1.7748,0.7673,1.8288,5.1915,-3.0961,3.49,5.8805,-2.3252,7.3185,5.1618,4.0295,48158,1504.9375,10.3175,5.8037,0.1262,0.0269,0.1104,0.9237,1.4084,1.2975,0.144,4.4407,-3.9039,2.9528,5.5926,-3.5573,7.1154,3.4559,5.7575,13699,428.0938,9.1694,1.8576,0.1651,0.1066,0.0808,-0.9302,2.3105,-0.2197,0.2039,3.2285,-0.7385,-1.3884,3.1966,-2.2155,4.6476,2.6857,2.6062,41749,1304.6562,8.5193,6.0933,0.193,0.0367,0.1972,0.8135,1.3396,1.0772,-3.4864,2.008,-4.4525,-4.4391,1.8278,-5.4771,6.1805,1.8685,7.0489,49824,1557,10.7222,5.7778,0.2171,0.0397,0.2135,1.2488,1.0827,1.2362,-3.9751,1.551,-4.2835,-4.806,1.3944,-5.2968,6.5555,1.7338,6.5931
"25",36024,1200.8,8.5608,5.9531,0.1059,0.0307,0.102,0.8547,1.6783,1.3419,-1.551,4.5323,-4.2105,-1.0744,4.9413,-5.1713,6.6479,2.8054,6.5349,41697,1389.9,10.2093,5.778,0.1302,0.0309,0.1217,1.1421,1.2338,1.344,-2.9101,4.0317,-5.0482,-2.4373,4.4807,-5.2552,6.9326,2.3464,7.2028,9648,321.6,7.6283,1.7893,0.1571,0.1069,0.0828,-0.1821,2.8006,-0.7211,-1.1532,4.0379,-3.074,-2.6025,4.0582,-4.3678,6.2682,3.0756,5.3791,35877,1195.9,8.5448,5.9399,0.1956,0.0448,0.1813,0.9381,1.4367,1.252,-4.6552,2.0858,-5.3317,-6.6129,1.657,-6.9471,8.4905,1.8311,8.3688,41177,1372.5667,10.2931,5.6595,0.2191,0.0448,0.2294,0.9658,1.1062,1.1583,-4.3805,1.6536,-4.7484,-6.1927,1.6709,-6.4369,7.8199,2.0177,8.3392
"3480",49086,1636.2,9.4432,7.3537,0.1346,0.0388,0.1352,0.0218,1.6595,0.4265,0.5242,3.7732,-3.3327,3.3207,6.1748,9.0325,7.3923,3.4313,5.4721,54082,1802.7333,11.3069,6.7667,0.1247,0.023,0.1275,0.0109,1.3345,0.014,0.477,3.2599,2.929,3.8837,5.466,8.5813,7.0867,2.7154,9.3697,14772,492.4,9.0521,2.3086,0.2022,0.1472,0.0455,-0.2794,2.421,-0.342,-0.0128,3.5956,-0.505,-2.4358,4.8579,-4.1041,6.174,3.2063,4.8032,47135,1571.1667,9.4775,7.0358,0.2183,0.047,0.2032,0.5114,1.4852,0.8768,-3.2405,2.2617,-4.0246,-4.9239,2.3665,-5.3819,6.6112,2.0544,7.1596,51439,1714.6333,10.8466,6.7091,0.2294,0.041,0.2069,0.9799,1.0971,0.9565,-3.9608,1.6679,-3.7528,-4.8313,1.8019,-4.2586,6.5603,2.0455,5.2339
"3481",37288,1202.8387,8.4741,5.8299,0.1389,0.0399,0.1214,0.9626,1.3679,1.4315,-3.5577,2.1903,-4.5003,-2.725,2.4805,-3.6503,5.4496,2.0329,6.7321,45018,1452.1935,10.4456,5.7101,0.1356,0.0268,0.1272,1.2013,1.0179,1.2772,-4.3299,1.931,-5.0927,-3.2197,2.7201,-4.7565,6.229,1.9802,7.4316,11523,371.7097,6.3409,2.4077,0.1528,0.1126,0.0757,-0.3133,2.0457,0.0422,-2.0707,3.2084,-3.631,-2.1685,3.5338,-3.7441,5.4748,2.4657,4.8831,37837,1220.5484,8.4522,5.9311,0.214,0.038,0.2094,0.7719,0.9894,0.7654,-4.3961,1.5395,-4.6398,-5.549,1.1703,-5.8531,7.273,1.5921,7.3464,41960,1353.5484,10.3442,5.3743,0.2167,0.0379,0.2149,0.6282,0.8932,0.5561,-3.7812,1.2445,-3.9565,-4.9826,1.0475,-4.9456,6.4023,1.4043,6.7076
"3513",52914,1824.6207,10.6332,7.5339,0.1104,0.0311,0.1059,-0.064,1.6451,0.703,-0.7323,4.011,-3.0809,0.4591,3.9496,-1.8689,4.97,3.2316,4.0222,60908,2100.2759,13.0024,7.092,0.1262,0.0258,0.125,0.3206,1.146,0.5888,-2.1915,3.3115,-4.0137,-0.9535,3.3084,-2.9081,4.9749,2.071,4.9695,15625,538.7931,8.889,2.6612,0.1668,0.1222,0.0335,-1.0285,2.4942,-0.7408,0.0055,3.7456,-0.9592,-0.6139,4.4351,-4.3864,5.5756,3.2041,3.7655,52420,1807.5862,10.5572,7.5173,0.1935,0.0439,0.1854,0.4456,1.3147,0.4065,-3.4988,1.8065,-3.8537,-4.5459,1.6482,-4.5242,6.1554,1.7103,5.6891,57850,1994.8276,12.9361,6.7704,0.2112,0.036,0.2154,0.7045,1.0411,0.6712,-4.0001,1.5715,-4.13,-4.9589,1.5365,-5.0597,6.5888,1.8947,7.3069
"3585",53097,1712.8065,10.3185,6.8178,0.083,0.0309,0.0715,-1.1641,1.8425,-1.0067,0.1181,3.307,-0.952,1.5462,3.3482,0.3319,4.4184,3.1271,2.4876,63398,2045.0968,12.3484,6.8022,0.0784,0.021,0.0754,-0.893,1.4796,-0.4094,-0.7563,2.875,-1.286,1.2156,2.5747,0.4013,3.8026,2.339,2.7739,18841,607.7742,10.5461,2.367,0.1837,0.1422,0.0592,-1.4211,2.5338,-0.9798,0.1134,3.531,0.116,-0.3548,3.8252,-2.0395,5.0936,3.1197,3.3564,50852,1640.3871,9.7381,6.9187,0.2148,0.0524,0.2116,0.3693,1.2597,0.4334,-4.0673,1.8823,-4.2597,-6.431,1.8762,-6.619,7.9384,1.9151,8.1988,60967,1966.6774,11.7845,6.8544,0.1875,0.0445,0.1935,0.173,1.037,0.0374,-3.0284,1.7861,-3.2454,-4.7181,2.0505,-3.8445,5.861,2.3622,5.3176
"73",47661,1444.2727,8.6229,6.4624,0.1205,0.0253,0.1192,0.0869,1.7764,0.6931,2.78,5.5498,-3.8609,5.165,5.6187,9.9029,8.727,4.8763,4.446,53415,1618.6364,10.6051,5.8889,0.1255,0.0227,0.1248,0.3524,1.3513,0.6849,1.9526,4.4048,-3.3214,5.2777,5.0352,9.892,7.9321,3.9311,11.3847,13515,409.5455,8.3679,1.8883,0.1716,0.1164,0.0746,-1.3104,2.5798,-0.7915,0.6349,3.5484,0.8107,0.6955,3.9506,-1.4193,4.9873,3.5472,2.6397,43924,1331.0303,8.372,6.1342,0.2104,0.0614,0.2076,0.8034,1.36,0.8692,-3.4923,1.9734,-3.7842,-4.0943,2.399,-4.8418,6.1233,1.8995,6.6784,53168,1611.1515,10.3006,6.0349,0.2109,0.0421,0.1964,0.992,1.0408,0.8516,-3.6095,1.5185,-3.396,-4.0513,1.6317,-4.5875,5.7745,1.7699,6.5874
