Site,Binomial,ID,Ndaphnia,Sex,Collector,Climate,Date,X240m,nbut,weight,death.p,Lum_Mean.hd,Lum_StdDev.hd,Sat_Mean.hd,Sat_StdDev.hd,Lum_Mean.fd,Lum_StdDev.fd,Sat_Mean.fd,Sat_StdDev.fd,Lum_Mean.hv,Lum_StdDev.hv,Sat_Mean.hv,Sat_StdDev.hv,Lum_Mean.fv,Lum_StdDev.fv,Sat_Mean.fv,Sat_StdDev.fv
AO,Zizina otis,ao3,10,Male,NA,Temperate,10/11/2023,1,2,0.006,0.1,0.1346,0.0388,7.3923,3.4313,0.1247,0.023,7.0867,2.7154,0.2183,0.047,6.6112,2.0544,0.2294,0.041,6.5603,2.0455
AO,Zizina otis,ao1,10,Male,NA,Temperate,10/11/2023,0,2,0.007,0,0.1346,0.0388,7.3923,3.4313,0.1247,0.023,7.0867,2.7154,0.2183,0.047,6.6112,2.0544,0.2294,0.041,6.5603,2.0455
AO,Zizina otis,ao2,10,Female,NA,Temperate,10/11/2023,4,2,0.006,0.4,0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
AO,Zizina otis,3513,10,Female,HS,Temperate,10/11/2023,3,1,0.005,0.3,0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
AO,Zizina otis,3585,10,Female,SS,Temperate,10/11/2023,8,1,0.007,0.8,0.107875,0.03365,5.482475,2.6728,0.1165,0.0255,5.994725,2.11875,0.194425,0.04275,7.200125,1.810825,0.208675,0.039975,6.525325,1.798025
BBG,Zizina otis,1017,10,Female,SS,Subtropical,20/09/2022,6,1,0.006,0.6,0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
BBG,Zizina otis,bbg1,10,Male,NA,Subtropical,20/09/2022,4,2,0.007,0.4,0.117275,0.033725,7.774675,4.322875,0.1164,0.0237,7.34805,2.95885,0.188475,0.047675,6.4861,1.977525,0.211,0.043675,5.9751,1.966575
BBG,Zizina otis,1040,10,Female,MFE,Subtropical,20/09/2022,0,1,0.007,0,0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
BBG,Zizina otis,996,10,Female,HS,Subtropical,20/09/2022,3,1,0.007,0.3,0.11795,0.0344,6.0622,3.6611,0.1406,0.03015,5.7468,2.32025,0.2079,0.05295,6.9705,1.93175,0.23565,0.0444,6.5307,1.7834
BBG,Zizina otis,998,10,Male,HS,Subtropical,20/09/2022,8,1,0.006,0.8,0.117275,0.033725,7.774675,4.322875,0.1164,0.0237,7.34805,2.95885,0.188475,0.047675,6.4861,1.977525,0.211,0.043675,5.9751,1.966575
BG,Zizina otis,bg3,10,Male,NA,Tropical,17/07/2022,5,2,0.005,0.5,0.1115,0.0324,7.43735,3.705425,0.123425,0.026325,7.277275,3.016725,0.195925,0.0487,7.22775,1.9985,0.20835,0.04035,6.808925,2.03
