"MSPEC","CIE_L.hd","CIE_a.hd","CIE_b.hd","R.hd","G.hd","B.hd","CIE_L.fd","CIE_a.fd","CIE_b.fd","R.fd","G.fd","B.fd","CIE_L.b","CIE_a.b","CIE_b.b","R.b","G.b","B.b","CIE_L.hv","CIE_a.hv","CIE_b.hv","R.hv","G.hv","B.hv","CIE_L.fv","CIE_a.fv","CIE_b.fv","R.fv","G.fv","B.fv"
"127",34.9942,3.8838,5.5424,92.106,80.0999,73.7387,35.1262,4.2477,7.1575,93.7166,79.9809,71.3932,51.9994,2.8576,6.7044,134.4548,123.1147,113.6568,51.8372,3.9086,12.3751,138.3377,120.6326,102.6729,52.7448,4.1498,11.278,140.5463,122.9211,106.8467
"151",40.4557,5.4663,1.3588,104.5392,92.5309,93.38,40.2954,6.4863,3.3049,107.0815,91.3234,89.8155,50.8315,3.162,4.727,130.0995,119.8273,113.8939,52.7623,4.7253,13.365,142.5335,122.5844,103.3837,55.041,5.1986,13.8158,149.6565,128.0281,108.2613
"153",40.0104,4.823,7.7573,107.0371,91.3452,81.9409,42.2741,5.4941,11.5391,115.7622,96.1374,81.0965,48.9575,2.8193,5.803,125.6894,115.212,107.2114,52.9767,4.8251,12.7672,143.0756,123.0941,104.9232,55.114,5.0645,14.0758,149.8584,128.3026,108.0243
"154",38.2713,5.6306,-0.093,98.391,87.1912,90.3422,41.6531,6.782,3.0058,110.9142,94.4436,93.5329,44.6968,2.4959,4.1582,113.392,104.9199,99.5373,50.9891,4.3387,11.9769,136.57,118.3097,101.3347,53.7301,5.4568,13.1801,146.3647,124.6015,106.1629
"25",38.4124,5.8922,5.4264,102.9197,86.9986,81.8341,42.5688,5.8205,8.7188,115.2247,96.8813,86.3652,43.5565,3.7361,5.9055,113.4047,101.4336,93.9486,51.352,4.2804,14.0083,138.5081,119.1671,98.7462,53.9848,4.5955,13.8561,145.8498,125.6339,105.5858
"3480",42.7703,5.1525,2.4607,110.9888,98.1879,97.1476,41.6097,5.0241,2.4191,107.8633,95.3259,94.4031,47.8247,3.632,4.4396,124.3845,113.1883,107.6887,53.7454,3.7761,11.6956,142.7115,125.7192,108.6741,55.0752,4.7998,13.3593,148.8947,128.4113,109.25
"3481",43.834,5.0839,10.2697,118.5179,100.3461,86.9669,43.658,5.2608,11.7609,119.0504,99.6224,83.9924,42.9295,3.3515,7.7686,112.6332,99.9025,89.2504,53.569,4.2004,13.9109,144.2218,124.7741,104.3365,53.8003,4.1318,12.5697,144.0819,125.5394,107.2671
"3513",39.1487,4.2095,4.769,101.8918,89.7569,84.5605,42.0433,4.1481,7.7059,110.8906,96.6156,86.7644,43.8591,2.6102,4.527,111.4578,102.6665,96.5569,51.0171,3.5764,11.7604,135.3787,118.8734,101.7334,53.2165,4.0638,13.1039,142.5879,124.0213,104.933
"3585",33.9912,2.973,2.5614,86.2898,78.4208,76.0912,33.4172,2.9773,4.0109,85.7754,76.8575,72.432,45.9644,2.1467,3.9024,116.0845,108.6354,103.3033,53.4526,3.3002,13.0751,142.0666,125.1815,105.5633,50.3039,3.3667,10.2473,132.3374,117.323,102.6223
"73",40.4006,6.9292,-2.7078,103.7648,91.7325,99.7896,41.4172,6.7708,-0.8811,107.7662,94.1132,99.3296,45.1325,2.2894,3.2078,113.7296,106.5123,102.4847,52.5412,4.6428,12.0293,141.3981,122.2338,105.1723,53.0176,5.037,12.1369,143.291,123.1278,106.2023
"74",38.3865,5.8926,2.3082,100.889,87.259,86.8505,40.353,6.4729,1.8838,106.3934,91.5465,92.2504,45.4943,3.5972,5.8241,117.589,105.9867,98.5726,49.9303,4.2828,13.1592,134.2592,115.7036,96.7284,52.4112,4.8788,13.8079,142.0416,121.4343,101.8233
"7",39.3691,5.2082,4.9684,104.1331,89.8012,84.8553,41.1097,5.3231,6.313,109.5135,93.7648,86.816,39.5546,2.6976,2.5772,99.3989,92.2391,89.5915,51.0256,3.4421,11.5378,134.8211,118.8933,101.9991,51.8931,4.4,12.482,139.363,120.6101,102.7917
"157",39.7807,5.315,-0.0223,101.7107,90.9815,93.937,41.2303,5.3968,1.9345,107.102,94.2861,94.2832,51.582,3.0927,4.6297,132.5848,122.4337,116.4738,52.0602,4.7643,12.9208,140.5515,120.8358,102.4216,54.7242,4.9868,12.6973,147.9694,127.5056,109.4997
